manifest_key	artifact_group	path	exists	path_type	size_bytes	rows_keys_or_children
claim_a_partition_online_latency_submatrix_csv	claim_a	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_online_latency_submatrix.csv	yes	csv	11471	16
claim_a_partition_online_latency_submatrix_deltas_csv	claim_a	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_partition_online_latency_submatrix_deltas.csv	yes	csv	5229	8
claim_a_partition_oracle_dir	claim_a	results/method4_claim_a_partition_oracle_20260704/analysis_20260704_213047	yes	dir	NA	3
claim_a_partition_oracle_summary_csv	claim_a	results/method4_claim_a_partition_oracle_20260704/analysis_20260704_213047/partition_oracle_summary.csv	yes	csv	4364	18
claim_a_random_balanced_current_build_dir	claim_a	results/method4_claim_a_partition_family_build_20260709/random_balanced_46_oracle_ef400/20260709_091449	yes	dir	NA	5
claim_a_random_balanced_current_build_summary_json	claim_a	results/method4_claim_a_partition_family_build_20260709/random_balanced_46_oracle_ef400/20260709_091449/summary.json	yes	json	4694	50
claim_a_random_balanced_current_builds_csv	claim_a	results/method4_claim_a_partition_family_build_20260709/random_balanced_46_oracle_ef400/20260709_091449/builds.csv	yes	csv	322	1
claim_a_random_balanced_current_latency_batches_csv	claim_a	results/method4_claim_a_partition_online_latency_20260709/random_balanced_46_ef400build/analysis_20260709_092159/claim_d_high_recall_latency_batches.csv	yes	csv	11139	90
claim_a_random_balanced_current_latency_dir	claim_a	results/method4_claim_a_partition_online_latency_20260709/random_balanced_46_ef400build/analysis_20260709_092159	yes	dir	NA	3
claim_a_random_balanced_current_latency_metadata_json	claim_a	results/method4_claim_a_partition_online_latency_20260709/random_balanced_46_ef400build/analysis_20260709_092159/run_metadata.json	yes	json	1277	29
claim_a_random_balanced_current_latency_summary_csv	claim_a	results/method4_claim_a_partition_online_latency_20260709/random_balanced_46_ef400build/analysis_20260709_092159/claim_d_high_recall_latency_summary.csv	yes	csv	1895	6
claim_a_topology_no_fission_build_tune_dir	claim_a	results/strict_ablation_topology_no_fission_20260705/reuse_tune_095/20260705_012313	yes	dir	NA	5
claim_a_topology_no_fission_config_sensitivity_csv	claim_a	results/method4_claim_coverage_20260704/derived_claim_tables/claim_a_topology_no_fission_config_sensitivity.csv	yes	csv	2024	2
claim_a_topology_no_fission_latency_dir	claim_a	results/method4_claim_a_partition_online_latency_20260704/topology_no_fission_selected/analysis_20260705_012559	yes	dir	NA	3
claim_a_topology_no_fission_latency_summary_csv	claim_a	results/method4_claim_a_partition_online_latency_20260704/topology_no_fission_selected/analysis_20260705_012559/claim_d_high_recall_latency_summary.csv	yes	csv	2065	6
claim_b_online_frontier_keypoints_long_csv	claim_b	results/method4_benchmark_matrix/method4_multiassign_recall_qps_excel_20260630/final_eval_keypoints_long.csv	yes	csv	16310	32
claim_b_online_frontier_matrix_summaries.0	0	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/matrix_summary.csv	yes	csv	3285	8
claim_b_online_frontier_matrix_summaries.1	1	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low/eval3000_20260629_v2/matrix_summary.csv	yes	csv	1481	8
claim_b_online_frontier_matrix_summaries.2	2	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/matrix_summary.csv	yes	csv	2146	5
claim_b_online_frontier_matrix_summaries.3	3	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/matrix_summary.csv	yes	csv	3235	8
claim_b_online_frontier_matrix_summaries.4	4	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/matrix_summary.csv	yes	csv	1839	4
claim_b_online_frontier_matrix_summaries.5	5	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/matrix_summary.csv	yes	csv	1811	4
claim_b_online_frontier_matrix_summaries.6	6	results/method4_benchmark_matrix/method4_multiassign_recall_qps_current_20260630_orion_single_low/eval3000_20260630/matrix_summary.csv	yes	csv	1075	2
claim_b_online_frontier_quality_flags_csv	claim_b	results/method4_benchmark_matrix/method4_multiassign_recall_qps_excel_20260630/coverage_and_quality_flags.csv	yes	csv	2173	9
claim_b_online_frontier_rollup_dir	claim_b	results/method4_benchmark_matrix/method4_multiassign_recall_qps_excel_20260630	yes	dir	NA	9
claim_b_online_frontier_source_summary_jsons.0	0	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low/eval3000_20260629_v2/orion_o100_single_r080/20260629_101020/summary.json	yes	json	5159	45
claim_b_online_frontier_source_summary_jsons.1	1	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low/eval3000_20260629_v2/orion_o100_single_r085/20260629_101158/summary.json	yes	json	5176	45
claim_b_online_frontier_source_summary_jsons.2	2	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o100_single_r090/20260629_110713/summary.json	yes	json	4433	45
claim_b_online_frontier_source_summary_jsons.3	3	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o100_single_r095/20260629_110832/summary.json	yes	json	4422	45
claim_b_online_frontier_source_summary_jsons.4	4	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_default/eval3000_20260629/orion_o118_default_r080/20260629_101825/summary.json	yes	json	5189	45
claim_b_online_frontier_source_summary_jsons.5	5	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o118_default_r085/20260629_110937/summary.json	yes	json	4431	45
claim_b_online_frontier_source_summary_jsons.6	6	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o118_default_r090/20260629_111013/summary.json	yes	json	4456	45
claim_b_online_frontier_source_summary_jsons.7	7	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o118_default_r095/20260629_111048/summary.json	yes	json	4465	45
claim_b_online_frontier_source_summary_jsons.8	8	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o149_w2c2_r080/20260629_111612/summary.json	yes	json	5562	45
claim_b_online_frontier_source_summary_jsons.9	9	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o149_w2c2_r085/20260629_112512/summary.json	yes	json	4455	45
claim_b_online_frontier_source_summary_jsons.10	10	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o149_w2c2_r090/20260629_112556/summary.json	yes	json	4466	45
claim_b_online_frontier_source_summary_jsons.11	11	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o149_w2c2_r095/20260629_112639/summary.json	yes	json	4460	45
claim_b_online_frontier_source_summary_jsons.12	12	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r080/20260629_112739/summary.json	yes	json	5678	45
claim_b_online_frontier_source_summary_jsons.13	13	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r085/20260629_113813/summary.json	yes	json	4452	45
claim_b_online_frontier_source_summary_jsons.14	14	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r090/20260629_113908/summary.json	yes	json	4453	45
claim_b_online_frontier_source_summary_jsons.15	15	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r095/20260629_113958/summary.json	yes	json	4437	45
claim_b_online_frontier_source_summary_jsons.16	16	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r080/20260629_115220/summary.json	yes	json	3656	45
claim_b_online_frontier_source_summary_jsons.17	17	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r085/20260629_115739/summary.json	yes	json	3668	45
claim_b_online_frontier_source_summary_jsons.18	18	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r090/20260629_115756/summary.json	yes	json	3657	45
claim_b_online_frontier_source_summary_jsons.19	19	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r095/20260629_115820/summary.json	yes	json	3675	45
claim_b_online_frontier_source_summary_jsons.20	20	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r080/20260629_115914/summary.json	yes	json	3667	45
claim_b_online_frontier_source_summary_jsons.21	21	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r085/20260629_120549/summary.json	yes	json	3674	45
claim_b_online_frontier_source_summary_jsons.22	22	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r090/20260629_120616/summary.json	yes	json	3687	45
claim_b_online_frontier_source_summary_jsons.23	23	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r095/20260629_120652/summary.json	yes	json	3681	45
claim_b_online_frontier_source_summary_jsons.24	24	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r080/20260629_121256/summary.json	yes	json	3679	45
claim_b_online_frontier_source_summary_jsons.25	25	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r085/20260629_122117/summary.json	yes	json	3684	45
claim_b_online_frontier_source_summary_jsons.26	26	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r090/20260629_122146/summary.json	yes	json	3685	45
claim_b_online_frontier_source_summary_jsons.27	27	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r095/20260629_122223/summary.json	yes	json	3691	45
claim_b_online_frontier_source_summary_jsons.28	28	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r080/20260629_122806/summary.json	yes	json	3666	45
claim_b_online_frontier_source_summary_jsons.29	29	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r085/20260629_123753/summary.json	yes	json	3673	45
claim_b_online_frontier_source_summary_jsons.30	30	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r090/20260629_123822/summary.json	yes	json	3685	45
claim_b_online_frontier_source_summary_jsons.31	31	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r095/20260629_123900/summary.json	yes	json	3691	45
claim_b_online_frontier_strict_keypoints_long_csv	claim_b	results/method4_benchmark_matrix/method4_multiassign_recall_qps_excel_20260630_strict/final_eval_keypoints_long_strict.csv	yes	csv	18954	32
claim_b_online_frontier_strict_readme_md	claim_b	results/method4_benchmark_matrix/method4_multiassign_recall_qps_excel_20260630_strict/README.md	yes	md	1915	NA
claim_b_online_frontier_strict_rollup_dir	claim_b	results/method4_benchmark_matrix/method4_multiassign_recall_qps_excel_20260630_strict	yes	dir	NA	8
claim_b_online_frontier_strict_source_summary_jsons.0	0	results/method4_benchmark_matrix/method4_multiassign_recall_qps_current_20260630_orion_single_low/eval3000_20260630/orion_o100_single_r080_current/20260630_101917/summary.json	yes	json	5152	45
claim_b_online_frontier_strict_source_summary_jsons.1	1	results/method4_benchmark_matrix/method4_multiassign_recall_qps_current_20260630_orion_single_low/eval3000_20260630/orion_o100_single_r085_current/20260630_102621/summary.json	yes	json	4450	45
claim_b_online_frontier_strict_source_summary_jsons.2	2	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o100_single_r090/20260629_110713/summary.json	yes	json	4433	45
claim_b_online_frontier_strict_source_summary_jsons.3	3	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_low_recover/eval3000_20260629/orion_o100_single_r095/20260629_110832/summary.json	yes	json	4422	45
claim_b_online_frontier_strict_source_summary_jsons.4	4	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_orion_default/eval3000_20260630/orion_o118_default_r080_strict/20260630_102914/summary.json	yes	json	5182	45
claim_b_online_frontier_strict_source_summary_jsons.5	5	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_orion_default/eval3000_20260630/orion_o118_default_r085_strict/20260630_103628/summary.json	yes	json	4474	45
claim_b_online_frontier_strict_source_summary_jsons.6	6	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_orion_default/eval3000_20260630/orion_o118_default_r090_strict/20260630_103703/summary.json	yes	json	4460	45
claim_b_online_frontier_strict_source_summary_jsons.7	7	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_orion_default/eval3000_20260630/orion_o118_default_r095_strict/20260630_103739/summary.json	yes	json	4457	45
claim_b_online_frontier_strict_source_summary_jsons.8	8	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_orion_w2c2/eval3000_20260630/orion_o149_w2c2_r080_strict/20260630_104031/summary.json	yes	json	5547	45
claim_b_online_frontier_strict_source_summary_jsons.9	9	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_orion_w2c2/eval3000_20260630/orion_o149_w2c2_r085_strict/20260630_104916/summary.json	yes	json	4471	45
claim_b_online_frontier_strict_source_summary_jsons.10	10	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o149_w2c2_r090/20260629_112556/summary.json	yes	json	4466	45
claim_b_online_frontier_strict_source_summary_jsons.11	11	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o149_w2c2_r095/20260629_112639/summary.json	yes	json	4460	45
claim_b_online_frontier_strict_source_summary_jsons.12	12	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r080/20260629_112739/summary.json	yes	json	5678	45
claim_b_online_frontier_strict_source_summary_jsons.13	13	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r085/20260629_113813/summary.json	yes	json	4452	45
claim_b_online_frontier_strict_source_summary_jsons.14	14	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r090/20260629_113908/summary.json	yes	json	4453	45
claim_b_online_frontier_strict_source_summary_jsons.15	15	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_orion_high_recover/eval3000_20260629/orion_o184_w2c3_r095/20260629_113958/summary.json	yes	json	4437	45
claim_b_online_frontier_strict_source_summary_jsons.16	16	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r080/20260629_115220/summary.json	yes	json	3656	45
claim_b_online_frontier_strict_source_summary_jsons.17	17	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r085/20260629_115739/summary.json	yes	json	3668	45
claim_b_online_frontier_strict_source_summary_jsons.18	18	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_simple_a1000/eval3000_20260630/simple_s100_a1000_r090_strict/20260630_105107/summary.json	yes	json	3681	45
claim_b_online_frontier_strict_source_summary_jsons.19	19	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s100_a1000_r095/20260629_115820/summary.json	yes	json	3675	45
claim_b_online_frontier_strict_source_summary_jsons.20	20	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r080/20260629_115914/summary.json	yes	json	3667	45
claim_b_online_frontier_strict_source_summary_jsons.21	21	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r085/20260629_120549/summary.json	yes	json	3674	45
claim_b_online_frontier_strict_source_summary_jsons.22	22	results/method4_benchmark_matrix/method4_multiassign_recall_qps_strict_20260630_simple_a1004/eval3000_20260630/simple_s119_a1004_r090_strict/20260630_105746/summary.json	yes	json	3691	45
claim_b_online_frontier_strict_source_summary_jsons.23	23	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_low/eval3000_20260629/simple_s119_a1004_r095/20260629_120652/summary.json	yes	json	3681	45
claim_b_online_frontier_strict_source_summary_jsons.24	24	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r080/20260629_121256/summary.json	yes	json	3679	45
claim_b_online_frontier_strict_source_summary_jsons.25	25	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r085/20260629_122117/summary.json	yes	json	3684	45
claim_b_online_frontier_strict_source_summary_jsons.26	26	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r090/20260629_122146/summary.json	yes	json	3685	45
claim_b_online_frontier_strict_source_summary_jsons.27	27	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s157_only/eval3000_20260629/simple_s157_a1010_r095/20260629_122223/summary.json	yes	json	3691	45
claim_b_online_frontier_strict_source_summary_jsons.28	28	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r080/20260629_122806/summary.json	yes	json	3666	45
claim_b_online_frontier_strict_source_summary_jsons.29	29	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r085/20260629_123753/summary.json	yes	json	3673	45
claim_b_online_frontier_strict_source_summary_jsons.30	30	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r090/20260629_123822/summary.json	yes	json	3685	45
claim_b_online_frontier_strict_source_summary_jsons.31	31	results/method4_benchmark_matrix/method4_multiassign_expansion_qps_20260629_simple_s189_only/eval3000_20260629/simple_s189_a1014_r095/20260629_123900/summary.json	yes	json	3691	45
claim_b_oracle_miss_dir	claim_b	results/method4_claim_b_oracle_miss_20260704/analysis_20260704_211749	yes	dir	NA	3
claim_b_oracle_miss_metadata_json	claim_b	results/method4_claim_b_oracle_miss_20260704/analysis_20260704_211749/run_metadata.json	yes	json	1607	19
claim_b_oracle_miss_strategy_build_summary_csv	claim_b	results/method4_claim_b_oracle_miss_20260704/analysis_20260704_211749/strategy_build_summary.csv	yes	csv	392	3
claim_b_oracle_miss_summary_csv	claim_b	results/method4_claim_b_oracle_miss_20260704/analysis_20260704_211749/oracle_gt_miss_summary.csv	yes	csv	1674	9
claim_b_raw_provenance_audit_csv	claim_b	results/method4_claim_coverage_20260704/derived_claim_tables/claim_b_raw_provenance_audit_20260708.csv	yes	csv	42728	96
claim_c_evidence_dir	claim_c	results/method4_claim_c_evidence_20260704	yes	dir	NA	6
claim_c_evidence_manifest_json	claim_c	results/method4_claim_c_evidence_20260704/source_manifest.json	yes	json	2367	13
claim_c_latency_analysis_dir	claim_c	results/method4_claim_c_dynamic_vs_fixed_latency_20260704/analysis_20260704_235925	yes	dir	NA	3
claim_c_latency_deltas_csv	claim_c	results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_dynamic_vs_fixed_latency_deltas.csv	yes	csv	883	1
claim_c_latency_matrix_csv	claim_c	results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_dynamic_vs_fixed_latency_matrix.csv	yes	csv	1391	2
claim_c_latency_raw_batches_csv	claim_c	results/method4_claim_c_dynamic_vs_fixed_latency_20260704/analysis_20260704_235925/claim_d_high_recall_latency_batches.csv	yes	csv	11244	90
claim_c_latency_raw_metadata_json	claim_c	results/method4_claim_c_dynamic_vs_fixed_latency_20260704/analysis_20260704_235925/run_metadata.json	yes	json	836	16
claim_c_latency_raw_summary_csv	claim_c	results/method4_claim_c_dynamic_vs_fixed_latency_20260704/analysis_20260704_235925/claim_d_high_recall_latency_summary.csv	yes	csv	1795	6
claim_c_latency_summary_script	claim_c	tools/method4_claim_c_latency_summary.py	yes	py	7785	NA
claim_c_performance_deltas_csv	claim_c	results/method4_claim_c_evidence_20260704/dynamic_vs_fixed_deltas.csv	yes	csv	645	3
claim_c_performance_dynamic_upper_120_summary_json	claim_c	results/method4_claim_c_orion_dynamic_ef_20260625/20260625_122853/summary.json	yes	json	4027	42
claim_c_performance_fixed_upper_120_summary_json	claim_c	results/method4_claim_c_orion_fixed_ef_extended_20260625/20260625_122713/summary.json	yes	json	4043	42
claim_c_performance_frontier_dynamic_095_summary_json	claim_c	results/method4_claim_c_orion_frontier_dynamic_095_robust_confirm_20260625/20260625_132811/summary.json	yes	json	4025	42
claim_c_performance_frontier_dynamic_097_summary_json	claim_c	results/method4_claim_c_orion_frontier_dynamic_097_more_robust_confirm_20260625/20260625_132923/summary.json	yes	json	4057	42
claim_c_performance_frontier_fixed_095_summary_json	claim_c	results/method4_claim_c_orion_frontier_fixed_095_robust_confirm_20260625/20260625_132656/summary.json	yes	json	3996	42
claim_c_performance_frontier_fixed_097_summary_json	claim_c	results/method4_claim_c_orion_frontier_fixed_097_robust_confirm_20260625/20260625_132210/summary.json	yes	json	4031	42
claim_c_performance_summary_csv	claim_c	results/method4_claim_c_evidence_20260704/dynamic_vs_fixed_performance_summary.csv	yes	csv	1677	6
claim_c_raw_provenance_audit_csv	claim_c	results/method4_claim_coverage_20260704/derived_claim_tables/claim_c_raw_provenance_audit_20260708.csv	yes	csv	21709	58
claim_c_relevance_analysis_dir	claim_c	results/method4_claim_c_dynamic_ef_relevance_20260704/analysis_20260704_141217	yes	dir	NA	4
claim_c_relevance_budget_alignment_csv	claim_c	results/method4_claim_c_dynamic_ef_relevance_20260704/analysis_20260704_141217/budget_alignment_summary.csv	yes	csv	1371	3
claim_c_relevance_by_count_csv	claim_c	results/method4_claim_c_dynamic_ef_relevance_20260704/analysis_20260704_141217/routed_ep_relevance_by_count.csv	yes	csv	3753	27
claim_c_relevance_metadata_json	claim_c	results/method4_claim_c_dynamic_ef_relevance_20260704/analysis_20260704_141217/run_metadata.json	yes	json	1471	18
claim_c_routed_ep_relevance_summary_csv	claim_c	results/method4_claim_c_evidence_20260704/routed_ep_relevance_summary.csv	yes	csv	1371	3
claim_d_099_alternate_width_formal_deltas_csv	claim_d	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_alternate_width_formal_deltas.csv	yes	csv	1742	2
claim_d_099_alternate_width_formal_dir	claim_d	results/method4_claim_d_099_alternate_width_formal_20260708/analysis_20260708_100010	yes	dir	NA	3
claim_d_099_alternate_width_formal_raw_metadata_json	claim_d	results/method4_claim_d_099_alternate_width_formal_20260708/analysis_20260708_100010/run_metadata.json	yes	json	1367	29
claim_d_099_alternate_width_formal_raw_summary_csv	claim_d	results/method4_claim_d_099_alternate_width_formal_20260708/analysis_20260708_100010/claim_d_high_recall_latency_summary.csv	yes	csv	2806	9
claim_d_099_alternate_width_formal_summary_csv	claim_d	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_alternate_width_formal_summary.csv	yes	csv	2598	3
claim_d_099_alternate_width_manifest_json	claim_d	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_alternate_width_manifest.json	yes	json	1650	12
