chart_id	table_title	section	supports_claim	recommended_chart	excel_plot_settings	source_paths_or_files	caveat_or_boundary	tsv_data_blocks_in_section
D-01	Method4 vs Naive：0.95 same-recall 主对比	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	在 0.955 附近，Method4 与 Naive Recall@10 接近，同时 QPS 更高并访问更少 shards。	簇状柱形图；X 轴为方法/配置，画 QPS、visited；Recall 用折线或标签。	X 轴=标签；建议系列=Recall@10, QPS, visited, EF-sum/query。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_method4_vs_naive_same_recall.csv	这是 0.95 主支撑行；不同 batch_size/控制行不要混成不标注的平均值。	1
D-02	Method4 vs Naive：约 0.97 正向行与 0.99 边界行	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	约 0.97 strict/neighbor 行支持 high-recall 范围内 QPS、visited、tail latency 优势；0.99 行只作为边界/负结果。	柱形图；目标为 X 轴，画 delta 指标；0.99 行用不同颜色标为 boundary。	X 轴=目标；建议系列=QPS变化(%), visited变化(%), P95/P99变化(%), Recall差。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_high_recall_latency_pairs.csv	不要把 0.99 neighborhood 写成正向 dominance；Method4 recall 低于 Naive 且原始 0.99 行 QPS/tail 不占优。	1
D-03	Method4 vs Naive：batch=200 high-recall supplement	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	batch=200 形态下约 0.97 行给出强正向 same-batch 证据；约 0.99 行仍是边界证据。	两组柱形图；按目标画 QPS/visited/P95/P99 delta；Naive CV 作为误差/脚注。	X 轴=目标；建议系列=QPS变化(%), visited变化(%), P95/P99变化(%), Naive CV。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_batch200_high_recall_deltas.csv	Naive batch=200 控制行 tail/QPS 方差较高；0.99 行 Method4 仍低于 0.99 且低于 paired naive recall。	1
D-04	Method4 vs Naive：selected robustness overlays	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	在选定 0.80/0.85/0.90/0.955/0.95-curve/0.97-neighbor 场景中，Method4 相对 same-run Naive 保持 QPS/visited/tail latency 优势。	热力图或分组柱形图；X 轴为场景，颜色按目标组，画 QPS/P95/P99 delta。	X 轴=目标组 + 场景；建议系列=Recall@10, QPS变化(%), visited变化(%), P95/P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/robustness_080_085_method4_vs_naive_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/robustness_090_method4_vs_naive_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/robustness_095_method4_vs_naive_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/robustness_095_curve_config_method4_vs_naive_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/robustness_097_closest_method4_vs_naive_deltas.csv	这些是 selected overlays，不是完整 recall/config 矩阵；部分行是 target-neighborhood 而非严格 same-recall。	1
D-05	0.99 retune/strategy search：负结果边界数据	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	多个 0.99 retune 和更宽 upper-routing 候选在 500-query screening 后未能在 formal 3000-query 窗口保持 Method4 Recall@10 0.99；支撑“0.99 dominance 不成立/不纳入当前 scope”的边界论据。	散点图；X 轴为 Method4 Recall，Y 轴 QPS变化或 P95变化；用 0.99 竖线标出阈值。	X 轴=Method4 Recall；建议系列=Naive Recall, QPS变化(%), P95/P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_retune_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_strategy_search_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_broader_strategy_formal_deltas.csv；results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_alternate_width_formal_deltas.csv	这是透明负结果，不是正向 claim；只用于限定 Claim D 的适用范围。	1
D-06	0.99 boundary：query-order / warmup sensitivity	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	0.99 边界行在 query order 和 cold/no-warmup 下仍未关闭 same-recall gap；支撑把 0.99 作为 boundary 而非主 claim。	柱形图；X 轴为敏感性场景，画 Recall变化、QPS变化、P95/P99变化。	X 轴=敏感性类型 + comparison；建议系列=Recall变化, QPS变化(%), P95/P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_boundary_query_order_sensitivity.csv；results/method4_claim_coverage_20260704/derived_claim_tables/claim_d_099_boundary_warmup_sensitivity.csv	只用于边界和敏感性说明；不要与 0.97 正向行混成平均。	1
E-01	compact_current vs materialized/client-expanded：执行模式 latency delta	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	compact_current 在多个 batch size 上减少 search request/candidate group，并提升 QPS、降低 P95/P99。	按 batch_size 分组的柱形图；分别画 QPS变化、P95/P99变化、request/candidate 降低。	X 轴=batch_size + 对比；建议系列=QPS变化(%), P95/P99变化(%), search requests降低(%), candidate groups降低(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_execution_mode_latency_deltas.csv	这是端到端执行模式证据，不是内部函数级 profiler。	1
E-02	JSON request/response body bytes	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	compact_current 显著减少请求 body、响应 body 和 total body bytes per query，是 Claim E “compact request”字节开销论据。	柱形图；X 轴 variant，数据表 1 画 request payload bytes/query，数据表 2 画 request/response/total body bytes/query。	X 轴=variant 或 batch_size + variant；建议系列=request bytes/query, response bytes/query, total body bytes/query, reduction vs baseline。百分比列按数值绘制，列名中的 (%) 表示百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_payload_bytes_summary.csv；results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_wire_bytes_summary.csv	这些是 JSON body bytes，不含 HTTP framing、压缩或真实物理网络字节。	2
E-03	route planning/materialization time	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	client-side upper label 与 plan materialization 时间在 sub-ms/query 量级；用于解释 compact/grouped/client-expanded 的规划开销。	簇状柱形图；variant 为 X 轴，画 total planning ms/query 和 request/candidate counts。	X 轴=variant；建议系列=total planning ms/query, search requests/query, candidate groups/query。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_planning_time_summary.csv	只覆盖 client-side upper label + plan materialization，不是 Qdrant server 内部规划成本。	1
E-04	host interface byte counters	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	在 Docker bridge/veth/loopback 等 host interface 计数上，compact_current 相比 grouped/client-expanded 减少 bytes/query。	分组柱形图；role 为 X 轴，按 comparison 分组，画 bytes变化。	X 轴=role + comparison；建议系列=bytes变化(%), compact/baseline bytes/query, QPS变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_host_interface_bytes_deltas.csv	host-interface counter 不是 packet-level physical NIC 证据；physical_nic 行数值很小且需结合 E-06 的零包 negative control。	1
E-05	Docker bridge packet capture	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	tcpdump bridge capture 显示 compact_current 减少 frame bytes/query、TCP payload/query 和 packet count/query。	柱形图；baseline 为 X 轴，画 frame/TCP payload/packet count 变化。	X 轴=baseline；建议系列=frame bytes变化(%), TCP payload变化(%), packets/query变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_packet_capture_bridge_deltas.csv	这是 Docker bridge/local traffic 证据，不是物理网络 payload savings，也不是 subsystem profiler。	1
E-06	physical NIC packet capture negative control	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	在单机 Docker 设置下，Claim E 对应窗口没有匹配外部 physical NIC 包；支撑把 E-05 限定为 bridge/veth-local 证据。	简单柱形图；interface 为 X 轴，packet_count 和 frame bytes 应为 0。	X 轴=physical interface；建议系列=packet_count, frame bytes, tcp payload bytes。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_packet_capture_physical_nic_totals.csv	这是 negative control，不是正向物理网络字节节省指标。	1
E-07	Qdrant /metrics supplement	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	Prometheus /metrics window 显示 compact_current 相比 grouped/client-expanded 有更高 QPS、更低 batch latency、REST duration delta 和 minor page faults。	柱形图；comparison 为 X 轴，画 QPS变化、P95/P99变化、REST duration变化。	X 轴=comparison；建议系列=QPS变化(%), P95/P99变化(%), REST duration变化(%), minor faults变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_qdrant_metrics_deltas.csv	这是 exposed/process-level counter 证据，不是 Qdrant 内部 subsystem/function-level attribution。	1
E-08	controller process attribution	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	host /proc 级别的 controller process attribution 显示 compact_current 在 batch=200 窗口降低 controller CPU/RSS 等资源指标。	条形图；metric 为 X 轴，按 comparison 分组，画变化(%)。	X 轴=metric + comparison；建议系列=compact/baseline value, 变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_controller_process_attribution_deltas.csv	这是进程级窗口归因，包含 setup/warmup/measured repeats/client orchestration；不要写成 server-internal subsystem profiling。	1
E-09	build-stage time/RSS smoke instrumentation	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	fresh-build smoke harness 证明 build-stage time/RSS instrumentation 路径可运行并记录 wall time / max RSS。	单行指标卡或柱形图；画 wall seconds 和 max RSS MiB。	X 轴=run label；建议系列=wall seconds, max RSS MiB, indexed vectors。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_e_build_stage_instrumented_smoke_20260707.csv	smoke-only，不是 full-size Method4 distributed build cost。	1
F-01	worker-local premerge fan-in mechanism	Claim F：worker-local premerge 降低 fan-in / candidate stream 压力	direct-peer local premerge simulation 把 candidate groups / returned candidates per query 大幅降到 peer-local 数量级。	簇状柱形图；标签为 X 轴，画 candidate groups/query 和 returned candidates/query。	X 轴=标签；建议系列=candidate groups/query, returned candidates/query, QPS, Recall@10。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_f_worker_local_premerge.csv	机制证据；direct-peer simulation 不能直接替代生产 enabled/disabled P95/P99 A/B。	1
F-02	premerge batch latency matrix	Claim F：worker-local premerge 降低 fan-in / candidate stream 压力	3 variants x 4 batch sizes x 3 repeats 矩阵显示 local premerge 保持 recall 并降低 candidate group/returned candidate 压力。	分组柱形图；batch_size 为 X 轴，每个 comparison 分组，画 candidate reduction 与 P95/P99 delta。	X 轴=batch_size + 对比；建议系列=candidate groups降低(%), returned candidates降低(%), P95/P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_f_premerge_batch_latency_deltas.csv	直接 peer simulation 与 current coordinator path 混合；用于 fan-in/latency-shape，不用于强生产 tail-latency enabled/disabled 声称。	1
G-01	offline placement load balance	Claim G：Method4-aware physical placement 带来 modest online/placement gains	Method4-aware placement 相对 round_robin 降低 per-query max peer load，改善负载均衡。	折线/柱形图；worker_count 为 X 轴，placement 为系列，画 avg/P95 max peer load 改善。	X 轴=worker_count；建议系列=avg/P95 max peer load改善(%), peer load CV改善(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_g_offline_placement_deltas.csv	这是 offline placement simulation；online modest gains 见 G-02。	1
G-02	online batch latency placement A/B	Claim G：Method4-aware physical placement 带来 modest online/placement gains	Method4-aware placement 在线 batch latency matrix 给出小幅 QPS 和 tail-latency 改善。	簇状柱形图；batch_size 为 X 轴，placement 为系列，画 QPS/P95/P99 delta。	X 轴=batch_size + placement；建议系列=QPS变化(%), P95/P99变化(%), Recall差。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_g_online_batch_latency_deltas.csv	增益 modest，避免写成大幅或所有 workload 都成立。	1
G-03	concurrency=8 supplement	Claim G：Method4-aware physical placement 带来 modest online/placement gains	高并发补充行显示 Method4-aware 在 concurrency=8 下仍有小幅 QPS/tail 改善。	单行柱形图；画 QPS/P95/P99 delta。	X 轴=comparison；建议系列=QPS变化(%), P95/P99变化(%), Recall差。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_g_evidence_20260704/online_concurrency8_latency_deltas.csv	补充证据，不是 primary matched-layout proof；deployed collection 不是完全相同 logical clone。	1
H-01	semantic invariant audit	Claim H：compact_multi_ep 语义保持	compact_multi_ep wrapper audit 通过 9 个语义 invariant，支撑 compact request 不改变 Method4 预期语义。	pass/fail 矩阵或计数柱形图；invariant 为 X 轴，status 为系列。	X 轴=invariant；建议系列=status(pass/fail)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/claim_h_semantic_invariants_current_evidence.csv	外部 wrapper audit，不是 C++ 内部逐步 trace；如需 implementation-level equivalence 需额外 C++ reference trace。	1
X-01	basic Method4-only worker-count scaling	横向证据：worker count、shard scaling、cost/footprint	GloVe worker_count 1/2/3/4 在目标 0.80/0.85/0.90/0.95 上显示 Method4-only QPS scaling 和 P95/P99 下降。	折线图；X 轴 worker_count，每个 target 一条 QPS speedup 线；另画 P95/P99 delta。	X 轴=worker_count；建议系列=QPS speedup, P95变化vs1(%), P99变化vs1(%), Recall@10。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/worker_count_online_scaling_deltas_20260708.csv	这是 Method4-only worker-count scaling，没有 Naive/Simple KMeans worker-count 控制；只支持 basic scalability wording。	1
X-02	shard-count scaling latency supplement	横向证据：worker count、shard scaling、cost/footprint	31/46 shard-count 对比提供 selected latency scaling 证据，应与 worker-count scaling 分开表述。	簇状柱形图；comparison_label 为 X 轴，画 QPS/P95/P99 delta。	X 轴=comparison_label；建议系列=QPS变化(%), visited变化(%), P95/P99变化(%)。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/crosscut_shard_scaling_latency_095_deltas.csv	这是 shard-count scaling，不是 physical worker-count scaling；两者不能混写。	1
X-03	cost/footprint main collections	横向证据：worker count、shard scaling、cost/footprint	主 collection 的 indexed vectors、index expansion、live disk footprint 与运行指标，为成本/空间/请求压力 claim 提供基础数据。	散点图；X 轴 index expansion 或 storage GiB，Y 轴 QPS/Recall；按 family 着色。	X 轴=family/strategy；建议系列=index expansion, storage GiB, Recall@10, QPS, candidate groups/query。百分比列按数值绘制，列名中的 (%) 表示百分比点/百分比值。	results/method4_claim_coverage_20260704/derived_claim_tables/crosscut_cost_main_collections.csv	full-size build time/RSS 仍不足；build-stage 只有 E-09 smoke instrumentation。	2
