order	chart_id	title	section	path	rows_including_header	data_rows	columns	all_rows_same_columns
11	C-01b	Dynamic EF vs Fixed EF：same/near-same recall delta	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/11_C-01b_Dynamic_EF_vs_Fixed_EF：same_near-same_recall_delta.tsv	4	3	5	True
12	C-02	Dynamic EF batch latency supplement	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/12_C-02_Dynamic_EF_batch_latency_supplement.tsv	2	1	9	True
13	C-03	routed EP count 相关性/机制证据	Claim C：Dynamic EF 在相同/近似召回下提升预算效率和 batch tail latency	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/13_C-03_routed_EP_count_相关性_机制证据.tsv	4	3	9	True
14	D-01	Method4 vs Naive：0.95 same-recall 主对比	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/14_D-01_Method4_vs_Naive：0.95_same-recall_主对比.tsv	12	11	8	True
15	D-02	Method4 vs Naive：约 0.97 正向行与 0.99 边界行	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/15_D-02_Method4_vs_Naive：约_0.97_正向行与_0.99_边界行.tsv	5	4	10	True
16	D-03	Method4 vs Naive：batch=200 high-recall supplement	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/16_D-03_Method4_vs_Naive：batch=200_high-recall_supplement.tsv	3	2	12	True
17	D-04	Method4 vs Naive：selected robustness overlays	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/17_D-04_Method4_vs_Naive：selected_robustness_overlays.tsv	25	24	11	True
18	D-05	0.99 retune/strategy search：负结果边界数据	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/18_D-05_0.99_retune_strategy_search：负结果边界数据.tsv	17	16	11	True
19	D-06	0.99 boundary：query-order / warmup sensitivity	Claim D：Method4 相对 Naive 在当前 0.80-0.95 范围和约 0.97 边界内提升效率	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/19_D-06_0.99_boundary：query-order___warmup_sensitivity.tsv	7	6	11	True
20	E-01	compact_current vs materialized/client-expanded：执行模式 latency delta	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/20_E-01_compact_current_vs_materialized_client-expanded：执行模式_latency_delta.tsv	9	8	11	True
21	E-02a	JSON request payload bytes	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/21_E-02a_JSON_request_payload_bytes.tsv	13	12	7	True
22	E-02b	JSON request/response body bytes	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/22_E-02b_JSON_request_response_body_bytes.tsv	4	3	12	True
23	E-03	route planning/materialization time	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/23_E-03_route_planning_materialization_time.tsv	4	3	10	True
24	E-04	host interface byte counters	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/24_E-04_host_interface_byte_counters.tsv	11	10	10	True
25	E-05	Docker bridge packet capture	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/25_E-05_Docker_bridge_packet_capture.tsv	3	2	12	True
26	E-06	physical NIC packet capture negative control	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/26_E-06_physical_NIC_packet_capture_negative_control.tsv	3	2	8	True
27	E-07	Qdrant /metrics supplement	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/27_E-07_Qdrant__metrics_supplement.tsv	3	2	10	True
28	E-08	controller process attribution	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/28_E-08_controller_process_attribution.tsv	7	6	6	True
29	E-09	build-stage time/RSS smoke instrumentation	Claim E：compact request / execution mode 降低请求对象、字节和运行时开销	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/29_E-09_build-stage_time_RSS_smoke_instrumentation.tsv	2	1	12	True
30	F-01	worker-local premerge fan-in mechanism	Claim F：worker-local premerge 降低 fan-in / candidate stream 压力	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/30_F-01_worker-local_premerge_fan-in_mechanism.tsv	6	5	7	True
31	F-02	premerge batch latency matrix	Claim F：worker-local premerge 降低 fan-in / candidate stream 压力	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/31_F-02_premerge_batch_latency_matrix.tsv	9	8	9	True
32	G-01	offline placement load balance	Claim G：Method4-aware physical placement 带来 modest online/placement gains	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/32_G-01_offline_placement_load_balance.tsv	7	6	8	True
33	G-02	online batch latency placement A/B	Claim G：Method4-aware physical placement 带来 modest online/placement gains	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/33_G-02_online_batch_latency_placement_A_B.tsv	5	4	10	True
34	G-03	concurrency=8 supplement	Claim G：Method4-aware physical placement 带来 modest online/placement gains	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/34_G-03_concurrency=8_supplement.tsv	2	1	9	True
35	H-01	semantic invariant audit	Claim H：compact_multi_ep 语义保持	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/35_H-01_semantic_invariant_audit.tsv	10	9	3	True
36	X-01	basic Method4-only worker-count scaling	横向证据：worker count、shard scaling、cost/footprint	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/36_X-01_basic_Method4-only_worker-count_scaling.tsv	17	16	11	True
37	X-02	shard-count scaling latency supplement	横向证据：worker count、shard scaling、cost/footprint	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/37_X-02_shard-count_scaling_latency_supplement.tsv	10	9	13	True
38	X-03	cost/footprint main collections	横向证据：worker count、shard scaling、cost/footprint	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/38_X-03_cost_footprint_main_collections.tsv	10	9	13	True
39	OUT-01	当前未作为主图表纳入的数据	当前未作为主图表纳入的数据	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/39_OUT-01_当前未作为主图表纳入的数据.tsv	2	1	5	True
40	S-01	图表来源/边界/Provenance 自解释索引	## Workbook 自解释附录	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/40_S-01_图表来源_边界_Provenance_自解释索引.tsv	35	34	9	True
41	S-02	source_manifest raw/provenance 路径清单	## Workbook 自解释附录	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/41_S-02_source_manifest_raw_provenance_路径清单.tsv	539	538	7	True
42	S-03	2026-07-09 当前范围完成审计	## Workbook 自解释附录	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/42_S-03_2026-07-09_当前范围完成审计.tsv	8	7	6	True
43	S-04	实验配置	## Workbook 自解释附录	docs/experiments/2026-07-09-method4-claim-support-excel-tables/tsv/43_S-04_实验配置.tsv	21	20	4	True
